,BRCA_mean,LUAD_mean,Difference,p_value,neg_log10_p
gene_0,0.011361690348729999,0.04108821773251064,-0.029726527383780642,0.02187932359013759,1.6599661085548585
gene_1,2.8397394546063466,3.3582595767879857,-0.5185201221816391,2.4369785862899996e-05,4.613148286940409
gene_2,2.805759180459687,3.45770119798573,-0.6519420175260433,3.6925966870018395e-10,9.432668124294517
gene_3,6.6926129867046,6.625187475876951,0.06742551082764958,0.24132836185198397,0.6173916351074156
gene_4,10.0037429037011,9.781486224096241,0.2222566796048593,1.578837543539519e-05,4.801662554965791
gene_5,0.0,0.0,0.0,,
gene_6,7.503837564626067,7.283120707215958,0.2207168574101086,0.04433384963560395,1.3532645560250247
gene_7,0.49990229580706663,0.39317869201080147,0.10672360379626517,0.022890856428726878,1.6403379585132118
gene_8,0.02171433149838,0.015984752229085106,0.005729579269294894,0.7056870436570497,0.1513878560955572
gene_9,0.03165364992526667,0.0,0.03165364992526667,0.24990512132283269,0.6022248437556782
gene_10,0.5440659918613433,0.6075409190799007,-0.06347492721855741,0.618381885895677,0.20874324058192406
gene_11,1.0122102831275563,1.18132898721239,-0.16911870408483365,0.06807982658413042,1.1669815591756887
gene_12,2.63646491466235,2.6709565282086674,-0.03449161354631736,0.6498089078731528,0.18721433944588503
gene_13,0.40477138546395663,0.44061359259976596,-0.03584220713580932,0.6574601290937797,0.18213057932428064
gene_14,0.19114560713753334,0.11382617452915601,0.07731943260837733,0.014755209926504297,1.8310546072908351
gene_15,0.0026116618736800002,0.0,0.0026116618736800002,0.4936096142907286,0.30661638991333373
gene_16,0.0042723206428800006,0.0038398277717659576,0.0004324928711140429,0.92319576664357,0.034706195660996315
gene_17,0.00750203023024,0.06078489756709929,-0.05328286733685929,4.125833638447725e-05,4.384488287599116
gene_18,1.0878662564874568,0.9758123682118865,0.11205388827557028,0.42412465457637205,0.372506481053013
gene_19,9.2943154080466,9.508352014590994,-0.2140366065443935,0.06928601806831786,1.1593543972558398
gene_20,3.429278993324477,3.775608550049078,-0.346329556724601,0.002826922125224635,2.548686155094157
gene_21,2.707867756823919,2.586641677719603,0.12122607910431604,0.626078626718221,0.2033711220522515
gene_22,8.260786959611366,8.577233299225817,-0.31644633961445123,0.016907569609888682,1.771918815871964
gene_23,0.0,0.0,0.0,,
gene_24,0.06726138039144666,0.0634741918223675,0.0037871885690791557,0.9112704584523961,0.0403527084481835
gene_25,0.34365984543333333,0.37663711620739004,-0.03297727077405671,0.5724638475311616,0.24225193486315813
gene_26,2.3244712961286966,5.509191362076432,-3.1847200659477357,8.572315925431032e-35,34.06690183178058
gene_27,8.880545531272999,9.179984739884537,-0.2994392086115383,0.00016242837450298775,3.789338101857941
gene_28,4.844229968463994,3.658729836978,1.1855001314859939,8.433077886606691e-11,10.074013888577522
gene_29,7.124762715777333,6.757651658311772,0.3671110574655607,0.005604318398546115,2.2514771990815645
gene_30,0.10344456845586333,0.6032400529425674,-0.4997954844867041,4.858744709815328e-07,6.313475919218771
gene_31,0.5220481499518668,1.1652282665923261,-0.6431801166404594,6.364613939089578e-06,5.196227934383932
gene_32,6.451786957481066,6.625939174785745,-0.17415221730467856,0.02393792160836963,1.6209135595770776
gene_33,3.0468729538936503,1.8287816991934822,1.218091254700168,7.567135825787431e-05,4.121068470623344
gene_34,13.406412679147834,14.12683510062766,-0.7204224214798263,4.8729380739740513e-11,10.312209107662875
gene_35,7.990710243018433,8.486944140787871,-0.4962338977694385,2.5002365594978335e-05,4.602018898678283
gene_36,0.6096381021946666,1.156672766852532,-0.5470346646578654,2.83085896021714e-10,9.548081767627224
gene_37,0.03856682182522667,0.3162903425978086,-0.2777235207725819,3.855247529090685e-11,10.413947732511327
gene_38,9.440741190882699,9.373131001167733,0.06761018971496568,0.12905217014076711,0.8892346879644696
gene_39,0.6608550152769334,1.1414765291664963,-0.480621513889563,0.00023566778459420672,3.627699780773073
gene_40,9.946847998462067,9.743932104756881,0.20291589370518537,0.0037930394201160247,2.4210126437591386
gene_41,0.16068995452402002,0.13967860278956737,0.02101135173445265,0.7340137706204323,0.13429579233411135
gene_42,0.11104782679622333,0.05780594280882978,0.053241883987393546,0.12312458661042028,0.9096552146313044
gene_43,0.03994810014662333,0.1368328683152057,-0.09688476816858235,0.0001355459192741058,3.867913552693714
gene_44,1.2138550420545633,4.22284870533573,-3.008993663281167,5.423254790131934e-44,43.265739991480274
gene_45,5.515523784428267,6.172230292580639,-0.6567065081523715,9.421372795457429e-06,5.0258858112141676
gene_46,10.6431853968648,10.025515052981632,0.6176703438831677,3.3773190651700544e-27,26.471427908361616
gene_47,9.779244909481234,9.64732867195454,0.1319162375266938,0.020862358850274165,1.6806365886352577
gene_48,11.174453825118732,11.183424467015818,-0.008970641897086296,0.8598092221445666,0.06559790103685628
gene_49,0.36444454332462,0.6300262245343973,-0.26558168120977727,1.4685528809455136e-06,5.833110410401418
gene_50,8.7458716281074,8.80797505428064,-0.062103426173239384,0.2594925514062438,0.585875103825518
gene_51,8.943129995192667,8.997475124426312,-0.05434512923364565,0.3845122171304164,0.41508985677794064
gene_52,11.476672560737633,11.715264727387236,-0.23859216664960314,0.00030534655822148977,3.515206970882915
gene_53,9.727023667935734,9.766427943319785,-0.03940427538405089,0.496499648743292,0.30408105441714783
gene_54,8.1948752331922,7.842297150232978,0.3525780829592211,1.8070130367374399e-09,8.743038714200159
gene_55,7.3502181577234325,8.537722073529432,-1.1875039158059995,1.878109729941934e-21,20.726279037354193
gene_56,10.263399100745,10.33209899047986,-0.06869988973486052,0.21887409608597766,0.6598056344695832
gene_57,5.668298605421133,6.981285433352199,-1.3129868279310664,3.072980950409532e-18,17.51244013195243
gene_58,9.5029995012778,8.124610409311348,1.3783890919664525,5.307340420109585e-13,12.275123055232193
gene_59,3.7071117604157036,3.203377266767575,0.5037344936481287,0.003042694930404195,2.5167415891087255
gene_60,6.625895868446401,6.43782307862922,0.18807278981718056,0.013485899300733798,1.8701200875259751
gene_61,6.791281835231294,6.258176111804581,0.5331057234267123,0.07094664987765831,1.1490681072395939
gene_62,2.1007162970182534,6.102625860856369,-4.001909563838115,4.461244887970855e-49,48.3505439366832
gene_63,3.43662610432601,2.9931790900230353,0.44344701430297473,0.00402955317571226,2.3947431087177304
gene_64,9.513059152423732,9.921306080196455,-0.40824692777272276,5.273796046131455e-06,5.277876669717481
gene_65,10.236144625944268,9.941808538529717,0.29433608741455153,0.0009393011112719167,3.0271951638563577
gene_66,10.741636021901334,11.424143688681914,-0.6825076667805803,8.794916680331008e-06,5.05576827052646
gene_67,4.77808703249417,6.23868013261078,-1.4605931001166095,5.754653498878823e-09,8.239980821131546
gene_68,7.8830412722825,7.724038383012836,0.15900288926966422,0.17574511008298904,0.7551167499127978
gene_69,5.9900822971118,6.098624711705887,-0.10854241459408698,0.5225703866370714,0.2818552047971913
gene_70,8.159028789319333,9.191714652323476,-1.0326858630041436,3.182775128068993e-23,22.497194044410318
gene_71,5.595974447123976,6.01722503119307,-0.4212505840690941,0.08802435612743205,1.0553971429840039
gene_72,5.45032904634442,5.086545292466525,0.36378375387789497,0.04680498936044115,1.3297078491435745
gene_73,9.075509414226866,9.107196163628158,-0.03168674940129179,0.5760730181570863,0.23952246558219992
gene_74,0.8772532316788269,1.06387072931639,-0.1866174976375632,0.08451709296912457,1.0730554492579178
gene_75,5.6970107015308065,5.571034251929433,0.12597644960137355,0.43345763668799786,0.36305334121352845
gene_76,4.663177496029774,4.443301185762056,0.21987631026771748,0.08648328200241183,1.0630678374579503
gene_77,2.1591783141804832,1.0516315387925106,1.1075467753879726,2.8094765420611168e-11,10.551374589728876
gene_78,8.870785418361766,9.424222112651986,-0.5534366942902196,1.816267222441141e-08,7.740820254551767
gene_79,8.761443179236666,8.67340980899851,0.08803337023815594,0.07075965622409802,1.150214285716242
gene_80,9.409910988543034,9.564164975917304,-0.1542539873742701,0.015897363146864667,1.798674904971009
gene_81,7.5818585332902995,7.207349695907801,0.37450883738249807,0.00018557600605690692,3.731478176342952
gene_82,8.6813351627712,9.431888192038866,-0.7505530292676657,1.8410658032677004e-34,33.73493068869026
gene_83,7.607972301755128,1.7979597498547377,5.81001255190039,6.75444631022432e-63,62.17041024608976
gene_84,2.4898931978907632,0.7767451154168085,1.7131480824739547,1.9820329001452377e-14,13.702889140853296
gene_85,2.4169823273012034,1.6130353273584395,0.803946999942764,0.0016549975745426284,2.781202638361691
gene_86,10.253602292318334,10.843384026001702,-0.5897817336833686,1.944868829616806e-15,14.711109684052722
gene_87,3.3386466310925598,4.790325569666411,-1.4516789385738513,4.997384665842811e-10,9.301257220134515
gene_88,8.385073029514466,11.73683988323645,-3.351766853721985,2.1712415278686972e-73,72.66329186314798
gene_89,7.135701824665133,9.383004226422484,-2.2473024017573513,1.322472129536474e-44,43.878613471743485
gene_90,10.393738373452168,9.757484540043546,0.6362538334086221,2.8767440924875475e-09,8.541098770074816
gene_91,1.62748036256756,4.852180027994688,-3.224699665427128,6.652170892532505e-71,70.17703660239742
gene_92,3.885808424339807,6.019317792160546,-2.133509367820739,3.8392970877183273e-39,38.41574828054615
gene_93,5.612725327789887,8.171361052815179,-2.558635725025292,1.4389998132250415e-37,36.84193926243264
gene_94,5.981461526160927,2.2015749743125244,3.7798865518484024,1.4339944181598836e-34,33.8434525391613
gene_95,7.408782984542501,7.7737536258260995,-0.36497064128359824,0.005727823081622831,2.2420104047821767
gene_96,8.661411959968634,8.847426778563333,-0.1860148185946997,0.025350981762038854,1.596005217175621
gene_97,3.6500977627378566,4.360148681216028,-0.7100509184781716,3.833162483710737e-06,5.41644277107089
gene_98,11.021001141212267,10.391900250983333,0.6291008902289335,1.1612734219595063e-16,15.935065513536353
gene_99,8.734310847115866,9.130374058114894,-0.39606321099902786,3.2614394689808345e-11,10.486590677399521
gene_100,10.681487965185534,10.517670340417093,0.1638176247684413,0.005732586648468932,2.2416493721553676
